	sim_id	lbgi_icgm	lbgi_ideal	lbgi_diff	dkai_icgm	dkai_ideal	dkai_diff	bg_condition	true_start_bg	start_bg_with_offset	sbr	isf	cir	ylw	age	max_bolus_delivered	traditional_bolus_delivered	bolus_diff
47	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=100_sbg=335	75.93	1.41	74.52000000000001	2.833	0.0	2.833	1	100	335				0	6	0.5269016697588126	0	0.5269016697588126
48	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=100_sbg=340	78.97	1.41	77.56	2.833	0.0	2.833	1	100	340				0	6	0.5336160438201254	0	0.5336160438201254
49	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=100_sbg=345	85.41	1.41	84.0	2.75	0.0	2.75	1	100	345				0	6	0.542097358423889	0	0.542097358423889
50	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=100_sbg=350	86.21	1.41	84.8	2.75	0.0	2.75	1	100	350				0	6	0.5558794946550049	0	0.5558794946550049
51	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=100_sbg=355	87.76	1.41	86.35000000000001	2.75	0.0	2.75	1	100	355				0	6	0.5608269281738671	0	0.5608269281738671
52	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=100_sbg=360	83.54	1.41	82.13000000000001	3.167	0.0	3.167	1	100	360				0	6	0.5790264157611095	0	0.5790264157611095
53	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=100_sbg=365	86.46	1.41	85.05	3.167	0.0	3.167	1	100	365				0	6	0.5839738492799716	0	0.5839738492799716
54	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=100_sbg=370	96.38	1.41	94.97	3.25	0.0	3.25	1	100	370				0	6	0.5933386341549608	0	0.5933386341549608
55	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=100_sbg=375	97.99	1.41	96.58	3.25	0.0	3.25	1	100	375				0	6	0.6018199487587245	0	0.6018199487587245
56	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=100_sbg=380	105.56	1.41	104.15	3.5	0.0	3.5	1	100	380				0	6	0.614718614718615	0	0.614718614718615
57	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=100_sbg=385	107.22	1.41	105.81	3.25	0.0	3.25	1	100	385				0	6	0.6258503401360545	0	0.6258503401360545
58	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=100_sbg=390	105.93	1.41	104.52000000000001	3.333	0.0	3.333	1	100	390				0	6	0.6352151250110434	0	0.6352151250110434
59	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=100_sbg=395	109.49	1.41	108.08	3.5	0.0	3.5	1	100	395				0	6	0.6481137909709339	0	0.6481137909709339
